HPV1	Papillomaviridae;Mu;Mu-1;HPV1
HPV2	Papillomaviridae;Alpha;Alpha-4;HPV2
HPV3	Papillomaviridae;Alpha;Alpha-2;HPV3
HPV4	Papillomaviridae;Gamma;Gamma-1;HPV4
HPV5	Papillomaviridae;Beta;Beta-1;HPV5
HPV6	Papillomaviridae;Alpha;Alpha-10;HPV6
HPV7	Papillomaviridae;Alpha;Alpha-8;HPV7
HPV8	Papillomaviridae;Beta;Beta-1;HPV8
HPV9	Papillomaviridae;Beta;Beta-2;HPV9
HPV10	Papillomaviridae;Alpha;Alpha-2;HPV10
HPV11	Papillomaviridae;Alpha;Alpha-10;HPV11
HPV12	Papillomaviridae;Beta;Beta-1;HPV12
HPV13	Papillomaviridae;Alpha;Alpha-10;HPV13
HPV14	Papillomaviridae;Beta;Beta-1;HPV14
HPV15	Papillomaviridae;Beta;Beta-2;HPV15
HPV16	Papillomaviridae;Alpha;Alpha-9;HPV16
HPV16-6721A	Papillomaviridae;Alpha;Alpha-10;HPV16-6721A
HPV16-6695C_6721A	Papillomaviridae;Alpha;Alpha-11;HPV16-6695C_6721A
HPV17	Papillomaviridae;Beta;Beta-2;HPV17
HPV18	Papillomaviridae;Alpha;Alpha-7;HPV18
HPV19	Papillomaviridae;Beta;Beta-1;HPV19
HPV20	Papillomaviridae;Beta;Beta-1;HPV20
HPV21	Papillomaviridae;Beta;Beta-1;HPV21
HPV22	Papillomaviridae;Beta;Beta-2;HPV22
HPV23	Papillomaviridae;Beta;Beta-2;HPV23
HPV24	Papillomaviridae;Beta;Beta-1;HPV24
HPV25	Papillomaviridae;Beta;Beta-1;HPV25
HPV26	Papillomaviridae;Alpha;Alpha-5;HPV26
HPV27	Papillomaviridae;Alpha;Alpha-4;HPV27
HPV28	Papillomaviridae;Alpha;Alpha-2;HPV28
HPV29	Papillomaviridae;Alpha;Alpha-2;HPV29
HPV30	Papillomaviridae;Alpha;Alpha-6;HPV30
HPV31	Papillomaviridae;Alpha;Alpha-9;HPV31
HPV32	Papillomaviridae;Alpha;Alpha-1;HPV32
HPV33	Papillomaviridae;Alpha;Alpha-9;HPV33
HPV34	Papillomaviridae;Alpha;Alpha-11;HPV34
HPV35	Papillomaviridae;Alpha;Alpha-9;HPV35
HPV36	Papillomaviridae;Beta;Beta-1;HPV36
HPV37	Papillomaviridae;Beta;Beta-2;HPV37
HPV38	Papillomaviridae;Beta;Beta-2;HPV38
HPV39	Papillomaviridae;Alpha;Alpha-7;HPV39
HPV40	Papillomaviridae;Alpha;Alpha-8;HPV40
HPV41	Papillomaviridae;Nu;Nu-1;HPV41
HPV42	Papillomaviridae;Alpha;Alpha-1;HPV42
HPV43	Papillomaviridae;Alpha;Alpha-8;HPV43
HPV44	Papillomaviridae;Alpha;Alpha-10;HPV44
HPV45	Papillomaviridae;Alpha;Alpha-7;HPV45
HPV47	Papillomaviridae;Beta;Beta-1;HPV47
HPV48	Papillomaviridae;Gamma;Gamma-2;HPV48
HPV49	Papillomaviridae;Beta;Beta-3;HPV49
HPV50	Papillomaviridae;Gamma;Gamma-3;HPV50
HPV51	Papillomaviridae;Alpha;Alpha-5;HPV51
HPV52	Papillomaviridae;Alpha;Alpha-9;HPV52
HPV53	Papillomaviridae;Alpha;Alpha-6;HPV53
HPV54	Papillomaviridae;Alpha;Alpha-13;HPV54
HPV55	Papillomaviridae;Alpha;Alpha-10;HPV55
HPV56	Papillomaviridae;Alpha;Alpha-6;HPV56
HPV57	Papillomaviridae;Alpha;Alpha-4;HPV57
HPV58	Papillomaviridae;Alpha;Alpha-9;HPV58
HPV59	Papillomaviridae;Alpha;Alpha-7;HPV59
HPV60	Papillomaviridae;Gamma;Gamma-4;HPV60
HPV61	Papillomaviridae;Alpha;Alpha-3;HPV61
HPV62	Papillomaviridae;Alpha;Alpha-3;HPV62
HPV63	Papillomaviridae;Mu;Mu-2;HPV63
HPV64	Papillomaviridae;Alpha;Alpha-11;HPV64
HPV65	Papillomaviridae;Gamma;Gamma-1;HPV65
HPV66	Papillomaviridae;Alpha;Alpha-6;HPV66
HPV67	Papillomaviridae;Alpha;Alpha-9;HPV67
HPV68a	Papillomaviridae;Alpha;Alpha-7;HPV68a
HPV68b	Papillomaviridae;Alpha;Alpha-7;HPV68b
HPV69	Papillomaviridae;Alpha;Alpha-5;HPV69
HPV70	Papillomaviridae;Alpha;Alpha-7;HPV70
HPV71	Papillomaviridae;Alpha;Alpha-14;HPV71
HPV72	Papillomaviridae;Alpha;Alpha-3;HPV72
HPV73	Papillomaviridae;Alpha;Alpha-11;HPV73
HPV74	Papillomaviridae;Alpha;Alpha-10;HPV74
HPV75	Papillomaviridae;Beta;Beta-3;HPV75
HPV76	Papillomaviridae;Beta;Beta-3;HPV76
HPV77	Papillomaviridae;Alpha;Alpha-2;HPV77
HPV78	Papillomaviridae;Alpha;Alpha-2;HPV78
HPV80	Papillomaviridae;Beta;Beta-2;HPV80
HPV81	Papillomaviridae;Alpha;Alpha-3;HPV81
HPV82	Papillomaviridae;Alpha;Alpha-5;HPV82
HPV83	Papillomaviridae;Alpha;Alpha-3;HPV83
HPV84	Papillomaviridae;Alpha;Alpha-3;HPV84
HPV85	Papillomaviridae;Alpha;Alpha-7;HPV85
HPV86	Papillomaviridae;Alpha;Alpha-3;HPV86
HPV87	Papillomaviridae;Alpha;Alpha-3;HPV87
HPV88	Papillomaviridae;Gamma;Gamma-5;HPV88
HPV89	Papillomaviridae;Alpha;Alpha-3;HPV89
HPV90	Papillomaviridae;Alpha;Alpha-14;HPV90
HPV91	Papillomaviridae;Alpha;Alpha-8;HPV91
HPV92	Papillomaviridae;Beta;Beta-4;HPV92
HPV93	Papillomaviridae;Beta;Beta-1;HPV93
HPV94	Papillomaviridae;Alpha;Alpha-2;HPV94
HPV95	Papillomaviridae;Gamma;Gamma-1;HPV95
HPV96	Papillomaviridae;Beta;Beta-5;HPV96
HPV97	Papillomaviridae;Alpha;Alpha-7;HPV97
HPV98	Papillomaviridae;Beta;Beta-1;HPV98
HPV99	Papillomaviridae;Beta;Beta-1;HPV99
HPV100	Papillomaviridae;Beta;Beta-2;HPV100
HPV101	Papillomaviridae;Gamma;Gamma-6;HPV101
HPV102	Papillomaviridae;Alpha;Alpha-3;HPV102
HPV103	Papillomaviridae;Gamma;Gamma-6;HPV103
HPV104	Papillomaviridae;Beta;Beta-2;HPV104
HPV105	Papillomaviridae;Beta;Beta-1;HPV105
HPV106	Papillomaviridae;Alpha;Alpha-14;HPV106
HPV107	Papillomaviridae;Beta;Beta-2;HPV107
HPV108	Papillomaviridae;Gamma;Gamma-6;HPV108
HPV109	Papillomaviridae;Gamma;Gamma-7;HPV109
HPV110	Papillomaviridae;Beta;Beta-2;HPV110
HPV111	Papillomaviridae;Beta;Beta-2;HPV111
HPV112	Papillomaviridae;Gamma;Gamma-8;HPV112
HPV113	Papillomaviridae;Beta;Beta-2;HPV113
HPV114	Papillomaviridae;Alpha;Alpha-3;HPV114
HPV115	Papillomaviridae;Beta;Beta-3;HPV115
HPV116	Papillomaviridae;Gamma;Gamma-9;HPV116
HPV117	Papillomaviridae;Alpha;Alpha-2;HPV117
HPV118	Papillomaviridae;Beta;Beta-1;HPV118
HPV119	Papillomaviridae;Gamma;Gamma-8;HPV119
HPV120	Papillomaviridae;Beta;Beta-2;HPV120
HPV121	Papillomaviridae;Gamma;Gamma-10;HPV121
HPV122	Papillomaviridae;Beta;Beta-2;HPV122
HPV123	Papillomaviridae;Gamma;Gamma-7;HPV123
HPV124	Papillomaviridae;Beta;Beta-1;HPV124
HPV125	Papillomaviridae;Alpha;Alpha-2;HPV125
HPV126	Papillomaviridae;Gamma;Gamma-11;HPV126
HPV127	Papillomaviridae;Gamma;Gamma-12;HPV127
HPV128	Papillomaviridae;Gamma;Gamma-13;HPV128
HPV129	Papillomaviridae;Gamma;Gamma-9;HPV129
HPV130	Papillomaviridae;Gamma;Gamma-10;HPV130
HPV131	Papillomaviridae;Gamma;Gamma-14;HPV131
HPV132	Papillomaviridae;Gamma;Gamma-12;HPV132
HPV133	Papillomaviridae;Gamma;Gamma-10;HPV133
HPV134	Papillomaviridae;Gamma;Gamma-7;HPV134
HPV135	Papillomaviridae;Gamma;Gamma-15;HPV135
HPV136	Papillomaviridae;Gamma;Gamma-11;HPV136
HPV137	Papillomaviridae;Gamma;Gamma-16;HPV137
HPV138	Papillomaviridae;Gamma;Gamma-7;HPV138
HPV139	Papillomaviridae;Gamma;Gamma-7;HPV139
HPV140	Papillomaviridae;Gamma;Gamma-11;HPV140
HPV141	Papillomaviridae;Gamma;Gamma-11;HPV141
HPV142	Papillomaviridae;Gamma;Gamma-10;HPV142
HPV143	Papillomaviridae;Beta;Beta-1;HPV143
HPV144	Papillomaviridae;Gamma;Gamma-17;HPV144
HPV145	Papillomaviridae;Beta;Beta-2;HPV145
HPV146	Papillomaviridae;Gamma;Gamma-15;HPV146
HPV147	Papillomaviridae;Gamma;Gamma-8;HPV147
HPV148	Papillomaviridae;Gamma;Gamma-12;HPV148
HPV149	Papillomaviridae;Gamma;Gamma-7;HPV149
HPV150	Papillomaviridae;Beta;Beta-5;HPV150
HPV151	Papillomaviridae;Beta;Beta-2;HPV151
HPV152	Papillomaviridae;Beta;Beta-1;HPV152
HPV153	Papillomaviridae;Gamma;Gamma-13;HPV153
HPV154	Papillomaviridae;Gamma;Gamma-11;HPV154
HPV155	Papillomaviridae;Gamma;Gamma-7;HPV155
HPV156	Papillomaviridae;Gamma;Gamma-18;HPV156
HPV157	Papillomaviridae;Gamma;Gamma-12;HPV157
HPV158	Papillomaviridae;Gamma;Gamma-1;HPV158
HPV159	Papillomaviridae;Beta;Beta-2;HPV159
HPV160	Papillomaviridae;Alpha;Alpha-2;HPV160
HPV161	Papillomaviridae;Gamma;Gamma-19;HPV161
HPV162	Papillomaviridae;Gamma;Gamma-19;HPV162
HPV163	Papillomaviridae;Gamma;Gamma-20;HPV163
HPV164	Papillomaviridae;Gamma;Gamma-8;HPV164
HPV165	Papillomaviridae;Gamma;Gamma-12;HPV165
HPV166	Papillomaviridae;Gamma;Gamma-19;HPV166
